date,rank,artist_name,album_name,song_name,keyword
Jan-91,33,엄인호,Sings The Blues,첫사랑,"#남성솔로, #블루스, #이별, #사랑, #추억, #차분한, #슬픈, #감성적인"
Jan-91,34,변진섭,너에게로 또 다시,로라,"#남성솔로, #발라드, #사랑, #그리움, #추억, #감성적인, #잔잔한, #따뜻한"
Jan-91,35,송골매,송골매 9,모여라,"#남성밴드, #록, #학교생활, #친구모임, #자유, #신나는, #에너지넘치는, #화려한화음"
Jan-91,36,태진아,거울도 안보는 여자/그대곁에 잠들고 싶어,거울도 안보는 여자,"#남성솔로, #트로트, #외로움, #사랑, #이별, #추억, #신나는, #차분한, #감성적인"
Jan-91,37,최진영,최진영 1,너를 잊겠다는 생각은,"#남성솔로, #발라드, #이별, #추억, #그리움, #감성적인, #차분한, #잔잔한"
Jan-91,38,백미현,백미현 3집,다시 사랑할 수 있다면,"#여성솔로, #발라드, #이별, #사랑, #추억, #차분한, #감성적인, #아련한"
Jan-91,39,윤상,이별의 그늘,이별의 그늘,"#남성솔로, #발라드, #이별, #사랑, #회상, #이별후, #차분한, #잔잔한, #감성적인"
Jan-91,40,빛과 소금,빛과 소금,샴푸의 요정,"#남성듀오, #퓨전재즈, #사랑, #요정, #환상, #차분한, #낭만적인, #몽환적인"
Jan-91,41,Various Artists,사랑으로 가는 길,사랑으로 가는 길,"#여성솔로, #발라드, #사랑, #이별, #연애, #감성적인, #차분한, #따뜻한"
Jan-91,42,이선희,Lee Sun Hee & Montreal Chamber Orchesrtra,J에게,"#여성솔로, #클래식발라드, #사랑, #추억, #이별, #차분한, #감성적인, #슬픈"
Jan-91,43,김지연,김지연 1집,계절이 끝나갈 무렵,"#여성솔로, #발라드, #계절, #이별, #추억, #차분한, #감성적, #우울한"
Jan-91,44,이치현,이치현 Vol.1,외면,"#남성솔로, #록발라드, #이별, #외면, #상처, #감성적인, #차분한, #서정적인, #진중한"
Jan-91,45,최용준,아마도 그건,거울이 되어,"#남성솔로, #발라드, #사랑, #거울, #영원한사랑, #잔잔한, #감성적인, #허스키보컬"
Jan-91,46,홍성민,기억날 그날이 와도,기억날 그날이 와도,"#남성솔로, #발라드, #이별, #추억, #후회, #잔잔한, #애절한, #서정적인"
Jan-91,47,이승환,B.C 603,텅 빈 마음,"#남성솔로, #팝, #이별, #허전함, #추억, #감성적, #차분한, #서정적"
Jan-91,48,진시몬,슬픔의 거리/세월의 그림자,낯설은 아쉬움,"#남성솔로, #록발라드, #이별, #그리움, #후회, #애절한, #서정적인, #감성적인"
Jan-91,49,박남정,열린 음악 7,여인이여,"#남성솔로, #댄스팝, #사랑, #연애, #여인, #감성적, #달콤한, #추억"
Jan-91,50,박선주 (Pak Sun Zoo),하루 이틀 그리고...,소중한 너 (Duet With 조규찬),"#여성솔로, #발라드, #사랑, #소중함, #연애, #차분한, #감성적인, #듀엣"
Feb-91,1,신승훈,미소 속에 비친 그대,미소 속에 비친 그대,"#남성솔로, #발라드, #이별, #추억, #사랑, #감성적인, #차분한, #애절한"
Feb-91,2,이상우,나만의 그대/그녀를 만나는 곳 100M전/그 언젠가처럼,그녀를 만나는 곳 100M 전,"#남성솔로, #발라드, #사랑, #고백, #이별, #차분한, #감성적인, #로맨틱한"
Feb-91,3,이승환,B.C 603,기다린 날도 지워질 날도,"#남성솔로, #발라드, #이별, #추억, #그리움, #감성적인, #잔잔한, #서정적인"
Feb-91,4,변진섭,미워서 미워질때,어떤 이별,"#남성솔로, #발라드, #이별, #사랑, #아픔, #차분한, #감성적인, #애절한"
Feb-91,5,양수경,양수경 골든,당신은 어디 있나요,"#여성솔로, #발라드, #이별, #사랑, #외로움, #차분한, #감성적인, #슬픈"
Feb-91,6,이승철,"노을, 그리고 나/Ballerina-Girl",그대가 나에게,"#남성솔로, #발라드, #이별, #사랑, #미안함, #차분한, #감성적인, #서정적인"
Feb-91,7,푸른하늘,푸른하늘 3집 - 이 밤이 지나도록,이 밤이 지나도록,"#남성그룹, #발라드, #이별, #사랑, #, 그리움, #차분한, #감성적인, #슬픈"
Feb-91,8,이선희,추억의 책장을 넘기면,추억의 책장을 넘기면,"#여성솔로, #발라드, #추억, #그리움, #아쉬움, #감성적, #차분한, #잔잔한, #서정적"
Feb-91,9,김현식,넋두리,넋두리,"#남성솔로, #발라드, #이별, #사랑, #고독, #차분한, #쓸쓸한, #절절한"
Feb-91,10,신해철,슬픈 표정 하지 말아요,안녕,"#남성솔로, #댄스팝, #이별, #환상, #거짓말, #감성적, #영어랩, #차분한"
Feb-91,11,최성수,최성수 5집 비창,이제 아침이 왔어요,"#남성솔로, #발라드, #사랑, #이별, #회상, #차분한, #감성적인, #부드러운"
Feb-91,12,윤상,이별의 그늘,이별의 그늘,"#남성솔로, #발라드, #이별, #사랑, #회상, #이별후, #차분한, #잔잔한, #감성적인"
Feb-91,13,김지애,5집,몰래한 사랑,"#여성솔로, #트로트, #사랑, #이별, #회상, #감성적인, #차분한, #아련한, #감미로운"
Feb-91,14,권인하,권인하 Best (마르지 않을 슬픔이 이 내 가슴 가득히),계절이 음악처럼 흐를 때,"#남성솔로, #발라드, #이별, #사랑, #, 그리움, #차분한, #애절한, #감성적인"
Feb-91,15,태진아,거울도 안보는 여자/그대곁에 잠들고 싶어,거울도 안보는 여자,"#남성솔로, #트로트, #외로움, #사랑, #이별, #추억, #신나는, #차분한, #감성적인"
Feb-91,16,주현미,'90 주현미(周炫美),잠깐만,"#여성솔로, #트로트, #이별, #사랑, #추억, #감성적, #차분한, #서정적"
Feb-91,17,조용필,조용필'90ㆍConcert,Overture/추억속의 재회/마도요,"#남성솔로, #발라드, #이별, #사랑, #추억, #차분한, #감성적인, #화려한"
Feb-91,18,015B,공일오비,텅 빈 거리에서,"#남성듀오, #팝발라드, #외로움, #도시, #그리움, #감성적, #잔잔한, #서정적"
Feb-91,19,김완선,삐에로는 우릴 보고 웃지,삐에로는 우릴 보고 웃지,"#여성솔로, #댄스, #삐에로, #눈물, #가면, #신나는, #화려한, #리드미컬한"
Feb-91,20,하덕규,쉼,쉼,"#남성솔로, #포크, #영적성찰, #자유, #평화, #차분한, #서정적, #명상적"
Feb-91,21,민해경,Jump '90,보고싶은 얼굴,"#여성솔로, #댄스팝, #이별, #그리움, #외로움, #감성적인, #서정적인, #감미로운"
Feb-91,22,전유나,너를 사랑하고도/사진속의 그대는,너를 사랑하고도,"#여성솔로, #발라드, #이별, #사랑, #외로움, #차분한, #애절한, #감성적인"
Feb-91,23,박학기,박학기 Vol II,자꾸 서성이게 돼,"#남성솔로, #포크팝, #그리움, #사랑, #이별, #아련한, #감성적, #잔잔한"
Feb-91,24,송시현,송시현 3,날 사랑하지마,"#여성솔로, #가요, #이별, #사랑, #희망, #차분한, #감성적인, #화려한"
Feb-91,25,송골매,송골매 9,모여라,"#남성밴드, #록, #학교생활, #친구모임, #자유, #신나는, #에너지넘치는, #화려한화음"
Feb-91,26,봄여름가을겨울,나의 아름다운 노래가 당신의 마음을 깨끗하게 할 수 있다면…,내 품에 안기어,"#남성밴드, #록, #사랑, #추억, #위로, #감성적, #잔잔한, #따뜻한"
Feb-91,27,김완선,삐에로는 우릴 보고 웃지,나만의 것,"#여성솔로, #댄스, #이별, #그리움, #자아성찰, #감성적, #차분한, #몽환적"
Feb-91,28,11월,11월,착각,"#여성솔로, #발라드, #이별, #사랑, #회상, #차분한, #감성적인, #아련한"
Feb-91,29,이상훈,사랑은 기다림으로/그대,사랑은 기다림으로,"#남성솔로, #발라드, #이별, #사랑, #기다림, #차분한, #감성적인, #슬픈"
Feb-91,30,최용준,아마도 그건,거울이 되어,"#남성솔로, #발라드, #사랑, #거울, #영원한사랑, #잔잔한, #감성적인, #허스키보컬"
Feb-91,31,박남정,열린 음악 7,여인이여,"#남성솔로, #댄스팝, #사랑, #연애, #여인, #감성적, #달콤한, #추억"
Feb-91,32,이선희,Lee Sun Hee & Montreal Chamber Orchesrtra,J에게,"#여성솔로, #클래식발라드, #사랑, #추억, #이별, #차분한, #감성적인, #슬픈"
Feb-91,33,김현식,김현식 6집,내사랑 내곁에 (응답하라 1988 삽입곡),"#남성솔로, #발라드, #사랑, #이별, #그리움, #감성적인, #차분한, #서정적인"
Feb-91,34,노래마을,우리의 노래가 이 그늘진 땅에 햇볕 한 줌 될 수 있다면,우리의 노래가 이 그늘진 땅에 햇볕 한 줌 될수 있다면,"#남성그룹, #포크, #희망, #평화, #연대, #따뜻한, #잔잔한, #감성적인"
Feb-91,35,장혜리,남겨진 시간을 위하여 / 그대 돌아오는 날엔,남겨진 시간을 위하여,"#여성솔로, #발라드, #이별, #시간, #그리움, #차분한, #감성적인, #잔잔한"
Feb-91,36,신정숙,신정숙 3집(강변이야기),그 사랑이 울고 있어요,"#여성솔로, #가요, #이별, #사랑, #, 기다림, #차분한, #감성적인, #슬픈"
Feb-91,37,조동진,조동진 Vol. 4.,음악은 흐르고,"#남성솔로, #포크, #자연, #시간, #흐름, #잔잔한, #서정적인, #평화로운"
Feb-91,38,강수지,보라빛 향기,보라빛 향기,"#여성솔로, #발라드, #사랑, #이별, #기억, #차분한, #감성적인, #풋풀한"
Feb-91,39,민해경,Jump '90,바람이 불어오면,"#여성솔로, #KPop, #이별, #추억, #바람, #감성적인, #잔잔한, #서정적인"
Feb-91,40,김민우,사랑일뿐야,입영열차안에서,"#남성솔로, #발라드, #군대, #이별, #사랑, #고난, #차분한, #감성적인, #어두운"
Feb-91,41,김지연,김지연 1집,찬바람이 불면,"#여성솔로, #발라드, #이별, #사랑, #회상, #차분한, #감성적인, #잔잔한"
Feb-91,42,신해철,슬픈 표정 하지 말아요,슬픈 표정 하지 말아요,"#남성솔로, #발라드, #사랑, #이별, #희망, #차분한, #감미로운, #감성적인"
Feb-91,43,김민우,사랑일뿐야,휴식같은 친구,"#남성솔로, #발라드, #우정, #휴식, #친구, #편안한, #따뜻한, #잔잔한"
Feb-91,44,박정운,박정운 Live & Single,오늘 같은 밤이면,"#남성솔로, #발라드, #, 그리움, #외로움, #사랑, #차분한, #감성적인, #어두운"
Feb-91,45,변진섭,너에게로 또 다시,로라,"#남성솔로, #발라드, #사랑, #그리움, #추억, #감성적인, #잔잔한, #따뜻한"
Feb-91,46,김성호,김성호의 회상,김성호의 회상,"#남성솔로, #발라드, #이별, #그리움, #후회, #감성적, #서정적, #차분한"
Feb-91,47,최진영,최진영 1,너를 잊겠다는 생각은,"#남성솔로, #발라드, #이별, #추억, #그리움, #감성적인, #차분한, #잔잔한"
Feb-91,48,백미현,백미현 3집,다시 사랑할 수 있다면,"#여성솔로, #발라드, #이별, #사랑, #추억, #차분한, #감성적인, #아련한"
Feb-91,49,이주엽,멀어지는 그 미소,멀어지는 그 미소,"#남성솔로, #발라드, #이별, #사랑, #, 그리움, #차분한, #감성적인, #슬픈"
Feb-91,50,엄인호,Sings The Blues,첫사랑,"#남성솔로, #블루스, #이별, #사랑, #추억, #차분한, #슬픈, #감성적인"
Mar-91,1,신승훈,미소 속에 비친 그대,미소 속에 비친 그대,"#남성솔로, #발라드, #이별, #추억, #사랑, #감성적인, #차분한, #애절한"
Mar-91,2,이상우,나만의 그대/그녀를 만나는 곳 100M전/그 언젠가처럼,그녀를 만나는 곳 100M 전,"#남성솔로, #발라드, #사랑, #고백, #이별, #차분한, #감성적인, #로맨틱한"
Mar-91,3,윤상,이별의 그늘,이별의 그늘,"#남성솔로, #발라드, #이별, #사랑, #회상, #이별후, #차분한, #잔잔한, #감성적인"
Mar-91,4,푸른하늘,푸른하늘 3집 - 이 밤이 지나도록,이 밤이 지나도록,"#남성그룹, #발라드, #이별, #사랑, #, 그리움, #차분한, #감성적인, #슬픈"
Mar-91,5,변진섭,미워서 미워질때,어떤 이별,"#남성솔로, #발라드, #이별, #사랑, #아픔, #차분한, #감성적인, #애절한"
Mar-91,6,이승환,B.C 603,기다린 날도 지워질 날도,"#남성솔로, #발라드, #이별, #추억, #그리움, #감성적인, #잔잔한, #서정적인"
Mar-91,7,양수경,양수경 골든,당신은 어디 있나요,"#여성솔로, #발라드, #이별, #사랑, #외로움, #차분한, #감성적인, #슬픈"
Mar-91,8,최성수,최성수 5집 비창,이제 아침이 왔어요,"#남성솔로, #발라드, #사랑, #이별, #회상, #차분한, #감성적인, #부드러운"
Mar-91,9,김현식,김현식 6집,내사랑 내곁에 (응답하라 1988 삽입곡),"#남성솔로, #발라드, #사랑, #이별, #그리움, #감성적인, #차분한, #서정적인"
Mar-91,10,전유나,너를 사랑하고도/사진속의 그대는,너를 사랑하고도,"#여성솔로, #발라드, #이별, #사랑, #외로움, #차분한, #애절한, #감성적인"
Mar-91,11,이승철,"노을, 그리고 나/Ballerina-Girl",그대가 나에게,"#남성솔로, #발라드, #이별, #사랑, #미안함, #차분한, #감성적인, #서정적인"
Mar-91,12,이선희,추억의 책장을 넘기면,추억의 책장을 넘기면,"#여성솔로, #발라드, #추억, #그리움, #아쉬움, #감성적, #차분한, #잔잔한, #서정적"
Mar-91,13,김완선,삐에로는 우릴 보고 웃지,삐에로는 우릴 보고 웃지,"#여성솔로, #댄스, #삐에로, #눈물, #가면, #신나는, #화려한, #리드미컬한"
Mar-91,14,김지애,5집,몰래한 사랑,"#여성솔로, #트로트, #사랑, #이별, #회상, #감성적인, #차분한, #아련한, #감미로운"
Mar-91,15,송골매,송골매 9,모여라,"#남성밴드, #록, #학교생활, #친구모임, #자유, #신나는, #에너지넘치는, #화려한화음"
Mar-91,16,김현식,넋두리,넋두리,"#남성솔로, #발라드, #이별, #사랑, #고독, #차분한, #쓸쓸한, #절절한"
Mar-91,17,신해철,슬픈 표정 하지 말아요,안녕,"#남성솔로, #댄스팝, #이별, #환상, #거짓말, #감성적, #영어랩, #차분한"
Mar-91,18,최용준,아마도 그건,거울이 되어,"#남성솔로, #발라드, #사랑, #거울, #영원한사랑, #잔잔한, #감성적인, #허스키보컬"
Mar-91,19,김성호,김성호의 회상,김성호의 회상,"#남성솔로, #발라드, #이별, #그리움, #후회, #감성적, #서정적, #차분한"
Mar-91,20,태진아,거울도 안보는 여자/그대곁에 잠들고 싶어,거울도 안보는 여자,"#남성솔로, #트로트, #외로움, #사랑, #이별, #추억, #신나는, #차분한, #감성적인"
Mar-91,21,권인하,권인하 Best (마르지 않을 슬픔이 이 내 가슴 가득히),계절이 음악처럼 흐를 때,"#남성솔로, #발라드, #이별, #사랑, #, 그리움, #차분한, #애절한, #감성적인"
Mar-91,22,015B,공일오비,텅 빈 거리에서,"#남성듀오, #팝발라드, #외로움, #도시, #그리움, #감성적, #잔잔한, #서정적"
